ZYTI,WIBD,KVJI,CSTT,OFSQ,RXUY,GWEE,NANX,PMLC,JIEK,GXSO,PTAX,RLCO,RNOZ,QRWO,PSSJ,WBYY,BDGK,FWKW,PFKF,ZKOY,XBUG,OMXX,IXKB,YKJO,GQUZ,VKRW,DDTT,QXYM,MHEC,TUXT,UZSD,AOQU,RJWA,VTQI,ROQE,ZMHO,RTDN,MJXP,XYKI,RESP__0,RESP__1,RESP__2,RESP__3,RESP__4
83658815.5240065,78719927.03288992,101474879.02837856,58960825.89153297,67751961.13735954,57696073.16350452,75940695.65498476,97848252.04488583,61399695.83700032,58872566.42057414,71394916.22645843,81335756.22356844,78592335.42701069,92451750.97310746,51083681.43381,74837381.1765411,98476665.01897652,82399858.10935898,98045005.09185033,59496232.76770654,104797239.5798243,53568975.69297318,86546561.11155371,85895053.09483765,46999126.9390041,88100306.47471032,91368397.5246337,52514015.680063635,77970063.99141508,80088336.72023241,70985820.93915604,92904049.86246282,62929878.2486465,68164505.08080795,65957014.99827039,98641197.02954197,69606331.0594923,52730126.689443424,98202068.69306284,84130281.88166612,33468864898.829723,49367054016.51324,20920073728.532223,33816173677.664867,45790931879.19992
70665947.27052887,83207793.48094091,73371243.03991912,65200888.016878545,85342043.69273217,55804781.59804901,88909477.56766567,54852901.743424304,49979787.846018605,94476333.19851394,58407094.64501424,67510922.33085842,56112418.746128775,92934381.2270262,60695690.587815545,63007855.94995621,74563737.96732402,92709008.95068525,66222702.08942843,83125247.12177446,67031552.547565825,65529117.00655442,86799140.26973024,60561065.90792184,75396470.4605009,63220419.48296502,94652512.77964123,104470763.21250343,51164277.991787754,50402874.092030056,76638985.00493787,70842998.03248402,94423023.06498002,84782435.8790729,70769504.94375378,64088101.38294213,63062840.18287631,62127646.32541133,95162460.95138352,86897901.07179186,30132914092.056393,43277005518.232155,14930870209.132166,28995088650.07023,37496728390.1053
69365581.04669511,91633846.85123143,85422003.98911473,82287348.51735438,71000302.72028702,94630151.78904408,56675389.23951115,81605421.00450619,81796114.82740836,43326635.903338626,85779367.5663829,100340040.90973818,83721490.9093953,57891842.64521724,81208136.10756133,84783573.20394851,59826886.29075089,51770058.737210006,83900412.95587131,74485259.6002297,104809364.88687046,56348716.49211422,83241890.06691262,78527894.62769772,73464448.81805602,52880114.33098144,70872203.66820014,62846392.28652842,67925692.13543187,55320687.037023425,61279200.838283256,50411797.119429305,79619975.62874663,61668157.89736744,89784575.87251018,93549953.03427346,40026424.842553236,107445324.7083869,64214128.30817486,96482550.00685132,22757904791.674595,49281191479.18367,17001824422.658682,41230051615.16656,29654570655.459892
83486056.82327472,75632964.36120312,76283811.17478049,67889559.70867777,77044273.00595066,49538024.64329759,85077186.66985789,63046602.689490214,67184922.8928093,92340381.16278896,61735139.51908658,60916239.89094599,41638432.98628489,91220905.04636544,61598051.12290806,60005895.461998194,79307932.57139042,95342006.49176256,71706975.24771999,100408442.60229076,66296689.570138425,87835557.03453793,91459177.13385865,53928762.05490126,75975537.94219205,74186034.1397545,92909349.94492057,89280836.09247476,49298042.34687407,37884211.37142827,75168963.48696087,62876804.25639498,88099367.2172728,72551088.55490172,64032139.51746341,64261606.39716222,68497432.46010908,72265444.86172867,89772323.05159828,85378395.67316218,29337319015.94506,51520913112.25765,15259161126.43197,28862083504.458797,35860194465.807556
95512765.33388072,36498440.07830491,64302696.44289145,89247781.83029765,75639267.20406613,81359399.09629345,99514791.78639722,76627773.94057816,91532143.46248353,87975667.11674337,59141969.32819458,79332676.26250847,104361880.61688527,67265849.28223234,68190354.11604665,68605803.12771976,60156999.19776065,96143653.82675202,55771233.54526672,56170927.67722947,74218599.01943614,72698617.16484675,60127849.66403483,64529228.78819761,45349815.220191784,53154894.75619668,73579771.60732798,74111008.56364183,81780948.86151752,59313648.24734311,91954450.5389625,81726050.74443136,71475855.7060817,51104014.96448157,59242925.52789026,61351943.98302612,60627188.38414236,59073019.93923776,48571555.93085194,65041592.69829573,34207720553.102406,35306832318.12982,15424139753.413467,32506610756.28667,35582327493.70314
72395070.22849041,104196697.55612694,81090470.5216307,71496312.37703441,67528915.80096613,78142874.0650363,53558521.88173019,64301505.49847254,95647080.57727228,53213989.18055656,91611310.14004321,85763209.27841985,83059410.3186737,69974358.61589003,86130525.00961879,94108705.12335095,57424287.464275554,56082971.094379306,72872125.16393098,61806111.65279543,88910141.09232935,56036214.352687605,91077328.10797344,74968003.8566186,72524588.71734242,57769991.95632865,51726723.05048127,65366231.205964044,75607007.27820972,60076557.777369864,62527648.849492535,52300412.72667248,76221513.15438002,61013336.98474283,90107616.29968354,82964523.75822744,68604314.12341852,96524309.18407519,52167651.75743366,91982940.31785297,24229616647.962513,50398072407.72826,16783586023.264805,35156729097.82804,29925824431.457233
56136149.52563109,35101649.89899108,103866544.83834243,43259143.994854316,74335663.50402607,63507422.25178306,82369134.24799582,93447078.76009624,46787586.45530521,48684041.00877448,63057454.435895756,88153382.28520067,64135081.718087845,87693745.59582941,53640333.150335796,78844336.84779721,104263396.53716853,88486344.70257555,90870448.99154845,67644854.30169848,78195126.72962013,50162271.793550976,78304788.95617765,88831198.23560806,57116041.11497615,60830768.19736018,90051977.71857102,56647442.72763486,80267646.41542706,86021488.42945214,78030578.36838643,98594906.23916055,57632944.1972987,71077654.93884723,57352724.29556607,92454967.31390893,50165118.84239055,53072226.94077666,90800209.25023685,79979161.3845389,32618792307.334156,41869855365.710526,17615192840.693813,31971915382.524937,49124318556.56112
89720386.24531372,47788362.35165225,66969123.89953015,91051697.59870242,80690679.27608852,76615666.70274173,77550633.76551594,88025234.67648228,102428555.4758636,90895741.0143264,55473193.00491111,86690283.74495423,87235310.42689739,56880055.85957011,60507633.35149544,75712832.36977911,70556685.88431737,90033883.04862547,63507946.98571816,61377396.80905256,73050334.90402773,56311034.37005545,86060843.64225803,60270936.346653126,60575065.75158812,65501936.68343766,59685671.598887436,100422150.31770739,89823696.411843,55896253.8909181,96728193.22662693,96995573.53471258,76985762.6032101,59683467.55777944,56722954.082786426,48095571.783207506,75562487.85296912,33462318.007225815,51325838.56744453,58765368.62726065,30982733508.18509,40636330026.18173,16132442815.806425,29170210264.55789,42589064183.67502
86675883.96247163,54256859.56263403,109285727.56115173,54272209.587485276,59666249.479877815,71504917.29659003,87262742.23583148,95049515.89736667,60826112.35827356,100602128.71761103,100285794.49141207,92556018.24189791,68027636.11185049,96514201.91077417,50655576.76906988,73712432.53071752,56984853.967783436,64536099.52318749,51821294.09823503,51155541.72605292,58568463.25328889,59108652.05506037,61573043.59739943,95377915.31803817,98591967.10764284,87477944.63707349,98922833.36934647,52612894.1779077,75538590.01505327,101613733.47705276,90758207.70677336,52121871.1666765,51223727.13754348,51689060.22794469,64537267.11751935,41970091.26925642,98873920.48107155,101791729.33336946,75929547.15812637,75863910.85145831,33834138271.63822,43811001933.02068,21388299592.523426,27776448787.796032,28528992327.02438
61799150.67859122,53443008.05033459,78027340.28349194,76628658.97787525,64753942.8859262,61080346.260998435,53737681.86259214,97665416.4445732,86710086.1921098,99134837.12338582,65805914.38600178,65833666.024287045,55340393.40580518,52043498.07960361,49447921.22198173,54861876.87226918,95191477.01768278,59911747.03076446,59407358.20454407,96237022.74413295,73175661.7097342,56914998.94881085,66023763.32636761,74690458.996464,78455767.29991844,90994117.44670108,71838562.68620822,98636065.30479392,66083791.89072138,69424051.2586386,68704443.84511518,49006554.52049723,59125734.85668382,58405033.31839265,71252060.94082461,54950806.6923345,90056483.3684077,71206085.71211138,83371190.58474587,80258531.17502458,25360762407.289303,52063551304.92991,18048602143.244675,26387591646.78564,37825193020.37564
64799126.23610672,52690804.9982578,64178773.188041344,71684665.30213435,78224228.43789177,62161247.64439359,52451433.40449724,90992635.26829456,81786271.75947078,81928534.86431648,51502850.58632264,63591399.51977191,53155346.08910508,49997389.8444061,48209505.928500764,50426941.672930606,74356601.90688936,60833138.57589743,53461459.35456735,101628940.35362792,80556217.0073377,56391225.33571056,66432043.30494768,74509639.58950397,60117307.762176886,76887733.13269928,50976464.88252881,107746894.48485745,71977204.52553995,64522059.24522678,69034016.75783433,61189052.894095875,56429047.85485197,46417545.5243834,93242990.7444548,57619068.0760304,74192874.68150929,58309237.58555774,78404671.37794669,86961816.02998437,24940636057.63585,51018309902.300896,14691787562.31171,27509372138.870853,34716989690.53633
72848495.66839638,34317719.51100513,101206813.91595949,51045457.64054633,64169698.58093005,56910941.00564076,95802207.90212162,109014589.08508599,59323590.638748094,94108224.25926712,103370326.96991971,90242126.28963706,81411447.00529468,92330698.3993279,47631463.91412394,77509078.25357966,51653426.04999331,54067233.25200327,75994680.06879394,48597218.92148236,90503170.36806169,62289593.1101385,65607779.11479304,89852183.44902623,75763018.96930236,90801649.23699991,75904850.87893882,64387595.76270593,69865214.74536937,85648647.77530944,101416190.06829911,72805518.43409242,54768081.97095852,47748671.595059,54739288.22021285,59121927.859191604,84938937.37613766,86854204.44491042,81572127.15683648,73551211.22929165,28044697720.41989,41901541662.03383,20460276253.738922,28729681999.452896,32507711751.48535
64933121.70416731,92095164.66153112,81320214.85817893,58455375.94425166,85772146.44831733,44502890.2549735,92798115.1278389,61161869.497367315,58016303.837533385,98008389.86002669,67703144.23033462,52968439.386614904,43579710.69134127,92580078.83829534,64287916.34854161,45179496.43145555,70681502.43201713,93757727.05487311,73099426.36976665,82219866.13349472,80874826.01358707,77642397.0731392,97218616.84178859,71421933.86845708,72852465.55435893,77767123.01271336,95478218.92044745,85270694.33251606,57507949.65420703,60731408.96892093,102633877.21300541,62166950.33925988,76725018.29687448,73638387.11069247,60791049.51894933,74488868.62244357,68918499.76257126,60199664.2730466,84950914.64656182,83694951.24718244,30383167273.95004,49432749981.84711,16481063220.698307,29033256675.803085,36282695506.46027
66906616.7647376,92167680.03465436,71980072.1800117,61168888.009519264,88438878.38038594,51663121.4696119,99808135.00704679,54601859.59206923,40291991.70120976,87346985.38718626,69922378.65436435,60738574.83832243,53019881.76413542,80101468.64386117,74620050.76705903,68797740.95284684,74872943.44020247,100739789.02511114,74830663.03709072,80104338.14908855,97076207.57188803,80613411.83388191,93816748.71772835,69630393.57971686,67684230.01122993,68432979.97521566,100952426.30064432,80500787.6852801,53455274.45083978,47269437.8954176,111067123870.34395,65173281.489017025,93873833.62510814,83259208.22421893,66758591.50760205,59018965.85670169,65184267.43213746,56300920.64708899,110179006.66302618,97927106.4147114,28618272626.16563,47277372687.73875,15154449602.815294,27693614930.63949,38651970484.40801
87041776.63391599,73280333.66841467,97101090.146252,59658022.032352485,61780275.25741226,87093494.4340263,53078061.32174525,74004032.22295716,89652176.6330826,58017696.368775636,86718302.20436251,96213026.51055394,85745232.73682182,82022653.29762073,72167991.15771413,89021709.05385524,69241937.16074064,68494020.32536225,71506054.58647914,75865137.1727963,99009554.28460166,64826474.99830252,72881836.86852019,83506615.84450467,73113528.6405747,64374005.041707344,51039842.18982238,59844382.570061356,91315844.8728347,49290687.44068286,60796151.62135674,49377226.08399478,70516248.65012802,62551020.07290497,89579409.35344586,81629523.44452994,53898814.57796578,90176087.00160652,47662341.25943589,93001881.72572903,27167623740.302708,46462301061.49354,18856433216.73292,37151741962.88028,30320175784.951794
66012226.42885155,40467253.30344347,81164912.77041608,55543647.457981996,56181203.26096982,77306465.76308769,94771912.62220475,110286817.06931514,38444305.26352679,94329992.31798017,103175914.88016646,103935891.55675025,66316861.47510182,97829613.33854547,53447434.26547696,76289693.60924782,41308899.617519,54386718.28487372,56635281.655843616,58794459.43376046,89493957.60113592,65129778.66009884,57213089.28339703,93523860.79037477,80505412.8142603,80635126.72345701,84825318.13452305,59885830.33639816,94651720.80646364,108518547.67905131,93203071.01696192,56991135.62017624,52938625.701352015,49788130.969933964,60827920.07267038,62900854.22778807,100133203.12370789,99299928.34226431,94496851.21711415,66368632.24873531,<Err>,44937622055.02267,17628600663.16361,31506080298.997234,25670818395.034454
44960039.52914052,93951550.61954814,84639901.9175008,86210064.81424025,87132713.21778092,49451716.74782483,52987188.10203392,67299187.13334693,47272072.01716191,93623474.89983827,104000811.2225805,87533966.33533603,62879825.87349257,54696742.19006229,87869241.42809467,54545594.86748098,66417472.758257814,97937848.03777604,71050127.30788013,55948915.06086978,72966785.1747077,56460710.231301606,60299689.650128976,73150647.45267475,76137608.41412283,41793642.30248353,73415592.06311037,111257137.28232571,82340088.31630161,91348650.36415729,61858871.182874754,60378845.170736775,94213557.97360006,88567735.16627231,87051527.2429075,68608850.56375286,80013369.16642232,65600965.706688724,83572692.46240185,77203956.26252604,31925733966.931084,44460293407.99004,14970568719.053717,27415559355.978073,35232018116.08582
77386466.670625,74741870.28213663,76628849.60488883,67421334.23692203,79095408.81268509,50044354.522438124,67457435.15890956,58392694.062554866,49662905.27691244,102467555.07774135,66202896.900974505,66892079.92492652,51838160.97540427,81106075.3867288,62509982.11982234,65456575.624935016,59786862.11702836,101093587.84398288,78101641.49757004,90294065.58019465,86902362.25213064,63466405.136811666,86700211.3506821,77740792.67121588,60035094.19623136,69245494.23707132,90839196.68594357,93134189.21118246,53617546.346043415,50394769.93441688,81959587.14232922,61924423.92346185,83284682.47365907,67517769.55687691,66586285.76426132,58400310.14922339,72128645.81895943,61393572.222589895,77774163.27879228,92087167.31950761,32272444656.64089,46242051017.03511,14740972102.923206,25725527826.363438,32867566604.547043
72608335.72238663,76021536.679966,93424422.85784341,55672852.009793736,65403796.96431089,55851869.3394848,93485899.59957717,104019223.55336589,66550224.23428794,63142914.96931491,81132611.0137799,76685415.02118948,56807999.93092829,85912977.05772492,57471295.74380862,83995366.76436442,87177666.38523017,92675451.25393721,86461035.4469388,56463107.501007065,77801655.78733253,-157320252268.90265,89308010.60987595,75984135.88788798,43502569.892078444,84098636.14985426,109272583.22478224,66359840.10690532,76688744.88438816,86229703.75555757,79519952.81064452,69972942.07950638,59517404.83348367,65916843.23177437,59222691.91890394,91150806.17096257,59593922.2510378,61612575.81549517,100528387.52322063,80469830.63704145,33626098593.362885,47929594598.04376,18199842490.28603,32889754874.360027,38748285115.462654
48055181.67786547,92878263.72751077,99511593.94191715,87977091.10904275,90736727.97319402,48338290.87775962,59519957.8095244,54439291.93684161,43935961.156996585,80454603.94087125,100756404.78608873,100702788.87128155,54038470.69380399,43636663.57986858,72623717.54403254,47494446.369490944,65509141.216908604,100119766.27191496,56880726.114168406,65182721.55487996,64847482.57663329,48112674.304560654,59703840.51598483,94919943.24098033,70716384.10223852,57771336.54591207,60538790.83077958,97409510.85487194,83692185.22800335,100756668.81367125,70051657.11166844,70206042.74745482,89428224.44821563,95156915.68069898,71866130.85884285,61969524.384776294,65304222.72347324,70792269.54200205,73592401.56582807,75096085.59260395,34376148792.26345,45369358423.29857,16867546439.217901,24851245635.191486,36700835668.30499
61705096.11249321,47290288.12311689,74699481.37391746,71752687.08439797,85936611.39725187,66829020.21863519,58059461.06243977,83659616.85165492,74507816.41625342,78665097.12451516,61311915.03580251,55647856.32470085,54947540.04365174,63701836.23000969,47810244.89049601,43806456.76404873,92332717.27843805,47545252.99784494,57256210.45356744,97837130.35823993,77622642.9912462,74668808.98430182,55933132.434833646,84483010.16416971,88739401.07254054,88538220.01326045,48628375.102763124,98501453.95403787,72396989.25430594,63412210.385641076,76935466.56489034,43566748.99528598,55431085.273005076,57029158.65204679,78881916.07414185,59067067.51702129,71767447.65960716,45075010.51533816,78160811.15066952,85841121.46020861,22700887514.478386,48092416475.57464,16412083991.239561,30531016202.826717,36512915984.28485
57831090.142616645,53566359.7072891,79957014.25153558,60835100.834502205,60597269.745231636,79094021.81579715,91929481.05700529,90022841.49439064,70309309.51319638,93445837.1230298,93825306.6549606,94999585.86988914,67085345.83009244,83010592.95560122,45277010.58501147,80191726.07108466,42275816.45278838,44501730.559280366,56530919.755896926,48854624.01890311,100214944.39300543,68818933.7142573,56726444.754508905,87561499.38748473,86958127.04927945,87856559.6302108,85947322.32209186,65470751.47921893,96198147.6336275,91674099.25550976,83952401.34193447,60094841.501394145,44805470.81714988,51412013.74182484,47930548.375974946,73745033.02332506,93877484.25695062,97149514.9361686,82459433.193643,83926204.1473034,25530890095.325756,40702938930.21024,17374001894.746162,34748188566.35434,26741156584.356976
99330754.00457609,58360251.653488874,63951391.96788893,95166013.08702242,62224692.17236613,69000974.43188906,76750052.26695839,74838513.16810657,95334170.24312976,82696836.39823574,51258786.124668576,82085440.20070781,106167901.39530359,61699574.19227245,42684051.630099945,36817856.70902084,69499726.93056233,82369017.77539615,84360345.51265506,68360475.9987001,75912953.89974912,64049644.28404706,74408695.0496968,69292288.38780774,48127661.29929593,57113977.20097413,73511800.09258938,84203060.1622545,86019294.87616283,59436767.65865009,87248693.12576547,88232834.22274964,87739962.27109134,49835888.93638951,52570270.57018124,49992345.965119034,64779212.95059453,63034467.029271245,50567721.50863276,54757010.092797205,32755640977.882626,44261634935.786125,16259936924.231003,29234209149.743855,39721265031.64975
60675782.38625696,51629168.83581516,77345483.17574823,85837584.81925303,90845752.03964171,67751984.49270916,56326883.55948892,83148857.69911149,87174582.22737671,101348020.12024502,66831800.83958754,55912858.38970054,57980983.2156335,48379299.60477032,59039739.87508734,48765483.280931816,91048371.70325454,64370824.98404,57569172.97511425,78680085.7189648,75459084.06666088,63026055.74090252,60400779.801414065,82741138.18250287,80745605.88773116,93250088.27890514,54221413.053144656,99824942.47643544,73147143.80140808,76745693.23918353,44653342.64479383,53126134.66371601,57867334.262046315,60391424.37372334,82481477.96097726,56075281.713422075,95070384.62182164,74091682.57536873,94325946.53234196,79891852.39347431,26609072383.41957,43899235244.27667,17769307037.163315,29718145919.28664,39043300438.742966
73859692.62329675,76426136.08175683,67951239.67460984,61833793.60319331,99317969.9918113,50362965.14792869,91847415.7533612,64166484.633428365,61215705.41640831,100988285.8017506,56121724.328400746,55385279.04078408,48775820.17748648,79413532.49893987,51007494.9843542,49402871.76861071,83612808.63706763,86081733.51647346,70433832.35876824,89259332.49917983,76551404.65946615,77697339.58850752,89665297.10832874,55333498.59063988,61900922.697780974,82915110.52951917,102601377.60585766,83807231.36697935,53193653.91122133,30992296.15445795,82721032.18584436,68388948.94324735,90709296.00098915,65337860.50752621,51150060.77039608,70072472.1178538,64896266.473465815,60751734.27664005,87189929.72523129,92490186.24162327,26933173275.191116,48819295004.96262,16045805314.600094,28769769125.03339,38966316730.68016
55296168.41657947,41042701.386560336,77686456.17375782,80836904.44899489,87841211.59135519,74328191.57010573,53309299.52893709,72956494.50966266,84436067.76039992,84937474.47898406,53546558.85490842,64411569.90287443,48825064.53606421,45014290.98051658,56718978.74414008,62875630.19919172,100117053.74888378,58552387.06016931,47282371.041295685,96207269.12280156,76294530.39788318,60042675.42409926,65678965.6879334,89599851.11505893,61321766.79810231,79654014.83451444,48555428.01224826,105115234.61727315,56193490.623603076,52983638.28419214,62583938.65388562,45933827.29170092,66101383.11782662,62735153.71489207,72303798.14273202,56070190.40931902,94608579.01195371,58321817.6346841,80359968.86320725,91090400.12117623,21592638341.987732,45181153814.94303,16567572949.95404,30300894694.522575,39209753949.58458
72150502.34890042,61877847.69088235,83392560.1143629,72030308.8322368,57487416.38825744,98645345.51612464,63586698.110291444,68819686.35770755,88747677.76424508,47556193.810008444,90944325.74458104,95865857.96140118,87672195.43578346,72500949.0816469,79570544.64134097,88397092.220941,69523922.52220349,67448791.90530936,77859515.02391867,68589567.56058875,99956399.20684168,63472378.69810464,83498930.46873549,83890697.61539766,80466258.85949773,45566258.13786534,57674561.34797975,48666579.713942386,80361965.71522377,54794363.84397939,80256515.6848124,52525251.38901064,79676041.94290935,49174367.791429006,70525987.05676304,90237269.10242806,53183534.414122656,83129073.76733626,64571981.72422686,75272225.31156957,25436258910.089317,42953124474.40824,16244356903.871153,41893581872.16395,30453521676.668964
